ClassII_DNA_P_3	f3:TR,TR
ClassI_LTR_Gypsy_556	f1:RT,RH,RH,IN,AP,GAG,AP;f3:GAG
ClassI_LTR_Gypsy_558	f2:GAG;f3:RT,RT,IN,RH,RH,RH
ClassI_LTR_Gypsy_560	f1:GAG;f2:RT,RH,RH,AP,IN,GAG;f3:AP
ClassI_LTR_Gypsy_561	f1:RH,RT,RH,IN
ClassI_LTR_Gypsy_562	f3:RT,RT,IN,RH,RH,GAG
ClassI_LTR_Gypsy_564	f2:RH,RH,IN;f3:RT,AP
ClassI_LTR_Gypsy_565	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_567	f1:GAG,GAG;f2:RH,RT,RT,RH,IN,RH
ClassI_LTR_Gypsy_570	f2:RT,RH,RH,IN,GAG,AP
ClassI_LTR_Gypsy_571	f1:RT,RH,RT,RH,IN,RH
ClassI_LTR_Gypsy_574	f2:RH,RT,RH,IN
ClassI_LTR_Gypsy_576	f5:GAG,AP;f6:RH,RH,RT,IN
ClassI_LTR_Gypsy_577	f2:RH,RH,RT,IN,GAG,AP
ClassI_LTR_Gypsy_578	f1:RH,RH,IN,RT;f2:RT,GAG,GAG
ClassI_LTR_Gypsy_579	f1:AP,RH,RH,GAG,GAG,IN;f3:RT
ClassI_LTR_Gypsy_580	f2:IN,GAG,RT,GAG;f3:RH,RH,RT,RH,RT
ClassI_LTR_Gypsy_582	f2:RH,RT,RH,AP,GAG,IN,GAG
ClassI_LTR_Gypsy_583	f3:RH,RH,RT,GAG,IN,GAG,RT,AP
ClassI_LTR_Gypsy_584	f1:GAG;f3:RH,RH,RT,IN
ClassI_LTR_Gypsy_586	f1:RT,GAG,AP,AP,GAG;f3:RH,RH,IN,GAG
ClassI_LTR_Gypsy_587	f1:AP,RT,GAG;f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_588	f2:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_589	f1:RH,RT,RH,RT,IN,RH;f3:GAG,GAG
ClassI_LTR_Gypsy_590	f6:GAG
ClassI_LTR_Gypsy_591	f2:RT,RT,IN,RH,RH,GAG,RH
ClassI_LTR_Gypsy_592	f2:GAG
ClassI_LTR_Gypsy_594	f3:RT,IN,RH,RT,RH,GAG,RH
ClassI_LTR_Gypsy_595	f1:IN,RH;f2:RH,RH
ClassI_LTR_Gypsy_598	f3:IN
ClassI_LTR_Gypsy_600	f2:GAG;f3:RH,RT,RH,RT,IN,RH
ClassI_LTR_Gypsy_601	f1:RT;f2:RH,IN,RT,RH,RH
ClassI_LTR_Gypsy_603	f1:RT,IN,RH;f2:RT,RH,RH
ClassI_LTR_Gypsy_604	f1:RT,IN,RH,RH,RH;f3:RT
ClassI_LTR_Gypsy_606	f4:AP,RT,GAG;f6:RH,RH,GAG,IN
ClassI_LTR_Gypsy_607	f1:GAG,AP;f2:RH,RT,RH
ClassI_LTR_Gypsy_609	f1:AP,RH,RT,RH,GAG,GAG,IN
ClassI_LTR_Gypsy_610	f2:GAG;f3:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_611	f2:GAG;f3:RH,RH,RT,IN,AP,GAG
ClassI_LTR_Gypsy_612	f1:RT,RT,GAG,RH,RH,RH;f2:IN
ClassI_LTR_Gypsy_613	f3:RH,RH,RT,IN,GAG,GAG
ClassI_LTR_Gypsy_614	f2:RH,RH,IN,GAG,RT
ClassI_LTR_Gypsy_615	f1:GAG;f3:RH,RT,RT,RH,IN,RH
ClassI_LTR_Gypsy_616	f2:RH,RH,RT,GAG,IN
ClassI_LTR_Gypsy_617	f1:RH,RH,RT,IN;f3:GAG
ClassI_LTR_Gypsy_618	f1:RH,RH,AP,IN,RT;f3:GAG,AP
ClassI_LTR_Gypsy_619	f2:GAG;f3:RT,RT,IN,RH,RH,RH
ClassI_LTR_Gypsy_620	f2:GAG,AP;f3:RH,RH,RT,AP,IN
ClassI_LTR_Gypsy_621	f3:RH,RH,IN,RT
ClassI_LTR_Gypsy_625	f3:RT,RT,IN,GAG,RH,RH,RH
ClassI_LTR_Gypsy_626	f2:RH,RT,RH,RT,GAG,RH,GAG;f3:IN
ClassI_LTR_Gypsy_627	f2:RH,RT,RH,GAG,AP,IN,GAG
ClassI_LTR_Gypsy_629	f1:GAG;f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_630	f3:RH,RH,IN,RT,GAG,RT,GAG
ClassI_LTR_Gypsy_631	f1:GAG;f3:RT,RH,RH,RT,IN,RH
ClassI_LTR_Gypsy_633	f1:RT,IN,RH,RH;f2:RT,GAG
ClassI_LTR_Gypsy_636	f1:RT;f2:RT,RH,RH,GAG;f3:IN
ClassI_LTR_Gypsy_637	f2:IN;f3:RH,RH,RT
ClassI_LTR_Gypsy_638	f3:RT,RH,IN,RH,RT,RH
ClassI_LTR_Gypsy_639	f1:RT,RH,RH,GAG,IN
ClassI_LTR_Gypsy_641	f1:GAG;f2:RT,IN,RT,RH,RH,RH
ClassI_LTR_Gypsy_642	f1:RT,IN,RH,RH,RH;f2:GAG,RT
ClassI_LTR_Gypsy_643	f1:IN,GAG;f3:AP,RT,RH,RH,GAG
ClassI_LTR_Gypsy_645	f3:RH,RH,RT,IN,GAG,AP
ClassI_LTR_Gypsy_646	f1:RT,RT,IN,RH,RH,GAG
ClassI_LTR_Gypsy_647	f1:GAG;f3:RH,IN,RT,RT,RH,GAG
ClassI_LTR_Gypsy_648	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_651	f1:RH,IN,RH;f3:AP,RT,GAG,GAG,RH,AP
ClassI_LTR_Gypsy_653	f2:RH,RH,IN,GAG;f3:RT,GAG,AP,AP
ClassI_LTR_Gypsy_654	f2:RT,RH,RT,RH,IN,GAG,RH,GAG
ClassI_LTR_Gypsy_655	f4:RT;f6:AP
ClassI_LTR_Gypsy_656	f3:RH,RH,GAG,RT,IN
ClassI_LTR_Gypsy_659	f1:AP;f2:RH,RH,RT;f3:IN,GAG
ClassI_LTR_Gypsy_660	f1:RH,RH,IN,RT,GAG
ClassI_LTR_Gypsy_663	f1:GAG
ClassI_LTR_Gypsy_667	f4:RT,RH,RT;f5:GAG,RH,RH,RT;f6:IN
ClassI_LTR_Gypsy_668	f1:IN;f3:RT,RT,RH,GAG,RH,RH
ClassI_LTR_Gypsy_669	f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_670	f2:RT,RH,IN,RH,RT,RH
ClassI_LTR_Gypsy_671	f1:RT,RH,GAG,RH,GAG,AP;f3:IN,RH
ClassI_LTR_Gypsy_672	f3:RT,RT,IN,RH,RH,GAG,RH
ClassI_LTR_Gypsy_673	f3:RH,RT,RH,RT,IN,GAG,GAG,RH
ClassI_LTR_Gypsy_674	f1:RH,RH,RT,GAG,IN;f3:AP,GAG
ClassI_LTR_Gypsy_676	f2:RT,RT,IN,RH,RH,GAG
ClassI_LTR_Gypsy_677	f1:GAG;f2:RT,IN,RH,RT,RH
ClassI_LTR_Gypsy_678	f3:RT,RH,RH,AP,GAG,GAG,IN,AP
ClassI_LTR_Gypsy_680	f1:RH,RH,RT,AP,GAG;f2:IN;f3:GAG
ClassI_LTR_Gypsy_681	f1:RT,IN,RH,RT,RH,GAG,RH
ClassI_LTR_Gypsy_682	f2:GAG,RH,RH,RT;f3:RT,IN
ClassI_LTR_Gypsy_684	f2:RT,IN;f3:RT,RH,RH,GAG
ClassI_LTR_Gypsy_689	f3:RT
ClassI_LTR_Gypsy_692	f1:GAG
ClassI_LTR_Gypsy_693	f1:RT,RT,IN,RH,RH,RH;f2:GAG
ClassI_LTR_Gypsy_694	f3:GAG,AP,AP,GAG
ClassI_LTR_Gypsy_695	f1:RT,RH,GAG,AP,RH;f2:RH,IN,RH
ClassI_LTR_Gypsy_696	f1:RT;f3:RH,RH,IN
ClassI_LTR_Gypsy_697	f1:RT,RT,IN,RH,RH,RH;f3:GAG
ClassI_LTR_Gypsy_698	f1:RT,IN,RH;f3:RT,RH,GAG,RH
ClassI_LTR_Gypsy_700	f1:RH,RH,RT;f2:IN,GAG
ClassI_LTR_Gypsy_701	f3:RH,RH,IN,RT
ClassI_LTR_Gypsy_702	f1:GAG;f2:RT,IN;f3:RH,RH
ClassI_LTR_Gypsy_707	f1:GAG;f3:RH,RH,RT,IN
ClassI_LTR_Gypsy_708	f2:RH,RT,RH,RT,IN,RH;f3:GAG
ClassI_LTR_Gypsy_709	f1:RH,RH,GAG,IN;f2:AP,GAG;f3:RT,RH
ClassI_LTR_Gypsy_712	f1:RT,RH,RH;f2:RT,IN,RH;f3:GAG
ClassI_LTR_Gypsy_714	f1:RT,RH,RH,IN,RT,GAG,RH,GAG
ClassI_LTR_Gypsy_716	f1:GAG;f3:RT,IN,RT,RH,RH,RH
ClassI_LTR_Gypsy_720	f2:RH,RT,RH,IN,AP,GAG
ClassI_LTR_Gypsy_721	f1:RH,RH,RT;f2:IN;f3:GAG
ClassI_LTR_Gypsy_723	f3:RT,IN,RT,RH,GAG,RH,RH
ClassI_LTR_Gypsy_724	f1:IN;f2:RH,RH,RT;f3:AP,GAG,GAG
ClassI_LTR_Gypsy_725	f1:GAG;f3:RH,RH,RT,IN,RT,RH
ClassI_LTR_Gypsy_726	f1:RT,IN,RT,RH,RH;f3:GAG,GAG
ClassI_LTR_Gypsy_727	f1:RT;f3:RT,RH,RH,IN,RT,RH
ClassI_LTR_Gypsy_728	f1:RH,RH,RT,IN,GAG,GAG,AP
ClassI_LTR_Gypsy_729	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_730	f5:RT,RH,RH;f6:RT,IN,GAG
ClassI_LTR_Gypsy_731	f5:GAG
ClassI_LTR_Gypsy_732	f2:GAG;f3:RH,RH,IN,RT,GAG
ClassI_LTR_Gypsy_733	f3:RH,RH,IN,RT
ClassI_LTR_Gypsy_734	f3:RT
ClassI_LTR_Gypsy_737	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_739	f1:RT,RH,RH,IN;f3:AP,GAG
ClassI_LTR_Gypsy_740	f1:RH,RH,RT,RT,IN,RH;f3:GAG
ClassI_LTR_Gypsy_743	f1:IN;f2:GAG,RT;f3:RT,RH,RH,RH
ClassI_LTR_Gypsy_744	f2:IN;f3:RH,RH
ClassI_LTR_Gypsy_747	f1:RH,RH,RT;f2:GAG;f3:IN,RT
ClassI_LTR_Gypsy_748	f1:RH,RT,RH;f2:IN,RH
ClassI_LTR_Gypsy_749	f3:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_750	f1:IN,RT,RH;f3:RT,RH,RH
ClassI_LTR_Gypsy_751	f3:RT,RH,RH,AP,IN,GAG,GAG
ClassI_LTR_Gypsy_752	f1:RH,RH,IN,RT,GAG
ClassI_LTR_Gypsy_753	f3:RH,RH,GAG,RT,IN
ClassI_LTR_Gypsy_754	f3:IN,RT,RH,RH,RT
ClassI_LTR_Gypsy_755	f2:IN,RT,RT,RH,GAG,RH,RH
ClassI_LTR_Gypsy_756	f2:RT,RT,IN,RH,RH,GAG
ClassI_LTR_Gypsy_757	f3:RH,RT,RH,IN,GAG,AP
ClassI_LTR_Gypsy_759	f2:RT,IN,RH;f3:RT,RH,RH,GAG
ClassI_LTR_Gypsy_761	f4:RH,RT,RH,IN,RH
ClassI_LTR_Gypsy_762	f1:AP,RH,RH,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_763	f1:IN;f3:RH,RT,RH,GAG,AP,GAG
ClassI_LTR_Gypsy_764	f1:RT;f2:GAG;f3:RH,RH,AP,IN,GAG
ClassI_LTR_Gypsy_766	f1:IN,RH,RH
ClassI_LTR_Gypsy_768	f3:GAG
ClassI_LTR_Gypsy_769	f2:IN,RH;f3:RT
ClassI_LTR_Gypsy_770	f1:RT,RH,RH,AP;f2:IN,RH
ClassI_LTR_Gypsy_771	f3:AP,RH,RH,RT,GAG,IN,GAG,AP
ClassI_LTR_Gypsy_772	f4:RH
ClassI_LTR_Gypsy_773	f3:RH,RH,AP,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_775	f1:RH,RH,AP,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_776	f3:RH,RH,RT,AP,GAG,IN,GAG
ClassI_LTR_Gypsy_777	f3:RH,RH,RT,IN
ClassI_LTR_Gypsy_778	f1:RT,RT,RH,RH,IN,RH;f2:GAG
ClassI_LTR_Gypsy_779	f4:RT
ClassI_LTR_Gypsy_780	f1:IN;f3:RT,RH,GAG,RT,RH,RH
ClassI_LTR_Gypsy_781	f2:IN;f3:RH,RH,RT,GAG,GAG
ClassI_LTR_Gypsy_782	f1:AP;f3:AP
ClassI_LTR_Gypsy_783	f1:RH,RH;f2:AP,RH,RH,GAG;f3:RT
ClassI_LTR_Gypsy_785	f4:GAG,AP
ClassI_LTR_Gypsy_786	f1:RH,RH,RT,IN;f2:GAG
ClassI_LTR_Gypsy_787	f3:RH,RH,IN,RT,GAG
ClassI_LTR_Gypsy_788	f1:RT,IN,RT,RH,RH,GAG
ClassI_LTR_Gypsy_789	f2:IN,RT;f3:RH,RH,RT
ClassI_LTR_Gypsy_792	f1:GAG;f3:RH,RT,RH,AP,IN,GAG
ClassI_LTR_Gypsy_793	f1:GAG;f3:RT,IN,RH,RT,RH,RH
ClassI_LTR_Gypsy_795	f1:RT,RH,RH,IN,GAG
ClassI_LTR_Gypsy_796	f1:RT,IN;f2:RH,RH;f3:AP,GAG
ClassI_LTR_Gypsy_797	f1:RH,RH,RT,IN,GAG;f3:GAG
ClassI_LTR_Gypsy_798	f4:RH,RH;f5:RH,IN,RH;f6:AP,GAG,RT,GAG
ClassI_LTR_Gypsy_799	f1:IN;f2:GAG;f3:RH,RT,RH,RT,RH
ClassI_LTR_Gypsy_800	f1:RH,RH,GAG,RT,IN;f3:AP
ClassI_LTR_Gypsy_801	f3:RT,IN,RT,RH,RH,GAG
ClassI_LTR_Gypsy_802	f1:RH,RH,AP,RT,GAG,IN,GAG
ClassI_LTR_Gypsy_803	f1:RT;f2:RH,RH,GAG,IN;f3:GAG,AP
ClassI_LTR_Gypsy_804	f1:RT,IN,RH,RH;f2:RH;f3:RT
ClassI_LTR_Gypsy_805	f1:AP,GAG,RT,GAG;f2:RH,RH,RT,IN
ClassI_LTR_Gypsy_808	f3:RT,IN,RT,RH,GAG,RH,RH
ClassI_LTR_Gypsy_809	f1:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_810	f1:GAG;f3:RH,RH,RT,RT,IN,RH
ClassI_LTR_Gypsy_812	f3:RH,RH,RT,IN,GAG
ClassI_LTR_Gypsy_813	f1:AP,RH,RT,RH,GAG,IN,GAG
ClassI_LTR_Gypsy_814	f1:RH,RH,RT,IN;f3:AP,GAG,GAG
ClassI_LTR_Gypsy_815	f3:GAG,AP
ClassI_LTR_Gypsy_817	f1:RH,RT,RH,GAG,IN,AP,GAG
ClassI_LTR_Gypsy_819	f2:RT,RH,IN,RH,RT,RH
ClassI_LTR_Gypsy_820	f2:RT,RH,RH,GAG,IN,GAG
ClassI_LTR_Gypsy_821	f2:RH,RT,RH,IN,AP,GAG,GAG,AP
ClassI_LTR_Gypsy_823	f1:RT,GAG,RH;f3:IN,RT,RH,RH
ClassI_LTR_Gypsy_824	f1:GAG;f3:RH,RT,RH,RT,IN
ClassI_LTR_Gypsy_825	f2:GAG
ClassI_LTR_Gypsy_829	f3:RH,RH,RT
ClassI_LTR_Gypsy_830	f1:GAG;f2:AP,RH,RT,RH,GAG;f3:IN
ClassI_LTR_Gypsy_832	f6:GAG
ClassI_LTR_Gypsy_833	f2:RT,RT,IN,GAG,RH,RH,RH
ClassI_LTR_Gypsy_834	f2:RH,RH,RT,GAG,IN
ClassI_LTR_Gypsy_835	f1:RH,RT,RH,IN,AP
ClassI_LTR_Gypsy_836	f1:IN;f3:RT,RH,RH,GAG,GAG
ClassII_DNA_TcMar_842	f1:TR
ClassII_DNA_TcMar_844	f2:TR
ClassII_DNA_TcMar_845	f3:TR
ClassII_DNA_TcMar_847	f3:TR
ClassII_DNA_TcMar_848	f1:TR
ClassII_DNA_TcMar_850	f3:TR
ClassII_DNA_TcMar_851	f2:TR
ClassII_DNA_TcMar_853	f3:TR
ClassII_DNA_TcMar_854	f1:TR,TR
ClassII_DNA_TcMar_858	f2:TR
ClassII_DNA_TcMar_859	f2:TR
ClassII_DNA_TcMar_860	f2:TR
ClassII_DNA_TcMar_862	f1:TR
ClassII_DNA_TcMar_865	f2:TR
ClassII_DNA_TcMar_869	f3:TR
ClassII_DNA_TcMar_872	f3:TR,TR
ClassII_DNA_TcMar_876	f3:TR,TR
ClassII_DNA_TcMar_880	f2:TR,TR
ClassII_DNA_TcMar_885	f1:TR
ClassII_DNA_TcMar_887	f2:TR
ClassI_nLTR_LINE_L1_954	f3:RT,EN
ClassI_nLTR_LINE_L1_956	f1:EN;f2:RT;f3:RT
ClassI_nLTR_LINE_L1_957	f2:RT,RH;f3:RT
ClassI_nLTR_LINE_L1_958	f1:RT;f2:RT
ClassI_nLTR_LINE_L1_959	f1:RT,EN
ClassI_nLTR_LINE_L1_960	f1:RT;f2:RT
ClassI_nLTR_LINE_L1_961	f3:RT,RT,EN
ClassI_nLTR_LINE_L1_962	f3:RT,EN
ClassI_nLTR_LINE_L1_965	f2:RT,EN,EN
ClassI_nLTR_LINE_L1_967	f2:RT
ClassI_nLTR_LINE_L1_968	f2:EN
ClassI_nLTR_LINE_L1_969	f3:RT,EN,EN
ClassI_nLTR_LINE_L1_970	f2:RT,RH
ClassI_nLTR_LINE_L1_971	f1:RT;f3:EN
ClassI_nLTR_LINE_L1_972	f3:RT,RT
ClassI_nLTR_LINE_L1_973	f2:EN;f3:RT,RT
ClassI_nLTR_LINE_L1_975	f3:RT,EN,EN
ClassI_nLTR_LINE_L1_976	f1:RT;f2:EN,EN
ClassI_nLTR_LINE_L1_978	f2:RT,EN;f3:EN
ClassI_nLTR_LINE_L1_979	f1:RT,RT,RH,EN
ClassI_nLTR_LINE_L1_980	f3:RT,EN,EN
ClassI_nLTR_LINE_L1_981	f3:RT,EN,EN
ClassI_nLTR_LINE_L1_982	f2:RT,EN,EN
ClassI_nLTR_LINE_L1_984	f1:RT,EN,EN
ClassI_nLTR_LINE_L1_985	f1:RT,EN,EN
ClassI_nLTR_LINE_I_986	f1:RT,EN,RH,EN,RT
ClassI_nLTR_LINE_I_987	f1:RT,EN,RH,EN
ClassI_nLTR_LINE_I_988	f2:RT,EN,RT,EN
ClassI_nLTR_LINE_I_989	f3:RT,EN,RH,RT,EN
ClassII_DNA_CACTA_990	f3:RT
ClassII_DNA_CACTA_992	f3:TR;f4:RT
ClassII_DNA_CACTA_997	f2:TR
ClassII_DNA_CACTA_998	f1:TR
ClassII_DNA_CACTA_999	f1:TR;f2:TR;f3:TR,TR
ClassII_DNA_CACTA_1000	f2:TR
ClassII_DNA_CACTA_1005	f1:TR
ClassII_DNA_CACTA_1007	f1:TR
ClassI_nLTR_DIRS_1011	f2:RT,RH,RH
ClassI_nLTR_DIRS_1012	f3:RT
ClassI_nLTR_DIRS_1013	f2:RT
ClassI_nLTR_DIRS_1014	f2:RT;f3:RT
ClassI_nLTR_DIRS_1016	f3:RT
ClassI_nLTR_DIRS_1017	f3:RT
ClassII_DNA_Mutator_1018	f2:TR,TR,TR
ClassII_DNA_Mutator_1021	f1:TR
ClassII_DNA_Mutator_1022	f1:TR,TR
ClassII_DNA_Mutator_1023	f3:TR,TR
ClassII_DNA_Mutator_1024	f1:TR,TR
ClassII_DNA_Mutator_1026	f6:TR
ClassII_DNA_Mutator_1028	f1:TR;f2:TR,TR
ClassII_DNA_Mutator_1032	f1:TR,TR
ClassII_DNA_Mutator_1033	f5:TR
ClassII_DNA_Mutator_1035	f2:TR
ClassII_DNA_Mutator_1038	f2:TR,TR,TR
ClassII_DNA_Mutator_1040	f2:TR,TR
ClassI_nLTR_PLE_1043	f2:RT
ClassI_nLTR_PLE_1047	f3:RT
ClassI_nLTR_PLE_1048	f2:RT
ClassI_nLTR_PLE_1050	f1:RT
ClassI_nLTR_PLE_1051	f1:RT
ClassI_nLTR_PLE_1053	f3:RT
ClassII_DNA_Harbinger_1069	f2:TR,TR
ClassII_DNA_Harbinger_1070	f3:TR
ClassII_DNA_Harbinger_1076	f1:TR
